Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_INTJ	upos_dist_NOUN	upos_dist_NUM	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Fut	verbs_tense_dist_Imp	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Cnd	verbs_mood_dist_Imp	verbs_mood_dist_Ind	verbs_mood_dist_Sub	verbs_form_dist_Fin	verbs_form_dist_Ger	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_Plur+1	verbs_num_pers_dist_Plur+2	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+1	verbs_num_pers_dist_Sing+2	verbs_num_pers_dist_Sing+3	aux_tense_dist_Fut	aux_tense_dist_Imp	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Cnd	aux_mood_dist_Imp	aux_mood_dist_Ind	aux_mood_dist_Sub	aux_form_dist_Fin	aux_form_dist_Ger	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_Plur+1	aux_num_pers_dist_Plur+2	aux_num_pers_dist_Plur+3	aux_num_pers_dist_Sing+1	aux_num_pers_dist_Sing+2	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	prep_dist_3	prep_dist_4	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_det:poss	dep_dist_det:predet	dep_dist_discourse	dep_dist_dislocated	dep_dist_expl	dep_dist_expl:impers	dep_dist_expl:pass	dep_dist_fixed	dep_dist_flat	dep_dist_flat:foreign	dep_dist_flat:name	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_obl:agent	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_vocative	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3	subordinate_dist_4	subordinate_dist_5
txt_files/training#145928430213545985_0.conllu	1	2	2.0	5.0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.0	0	0	0	0	0	0	0	0	0	0	0	0
txt_files/test#525377933666693121_1.conllu	3	26	8.666666666666666	5.043478260869565	7.6923076923076925	11.538461538461538	11.538461538461538	0	7.6923076923076925	7.6923076923076925	0	19.23076923076923	7.6923076923076925	3.8461538461538463	0	11.538461538461538	0	0	11.538461538461538	0	0.5652173913043478	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	33.333333333333336	0	0	33.333333333333336	0	33.333333333333336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	66.66666666666667	2.0	33.333333333333336	0	33.333333333333336	0	33.333333333333336	0	0	1.6666666666666667	8.666666666666666	5.333333333333333	2.5	13	1.0	2	100.0	0	0	0	0	0	100.0	0.0	0	0	0	11.538461538461538	7.6923076923076925	3.8461538461538463	0	0	11.538461538461538	7.6923076923076925	0	0	3.8461538461538463	0	0	7.6923076923076925	0	0	0	0	0	0	0	0	3.8461538461538463	0	0	0	0	7.6923076923076925	3.8461538461538463	0	3.8461538461538463	0	3.8461538461538463	0	0	11.538461538461538	11.538461538461538	0	0	100.0	0.0	0	0	0	0	0	0	0	0
txt_files/training#835417069160120323_0.conllu	1	22	22.0	5.75	0	4.545454545454546	18.181818181818183	4.545454545454546	9.090909090909092	18.181818181818183	0	22.727272727272727	0	0	0	9.090909090909092	0	0	13.636363636363637	0	0.6	0	0	0	100.0	0	0	100.0	0	33.333333333333336	66.66666666666667	0	0	0	0	100.0	0	0	0	0	100.0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	3.0	0.0	3.0	33.333333333333336	0	0	0	33.333333333333336	33.333333333333336	0	5.0	7.333333333333333	7.0	2.9473684210526314	7	0	0	0	0	0	0	0.0	100.0	50.0	50.0	0	0	4.545454545454546	18.181818181818183	0	0	4.545454545454546	0	4.545454545454546	9.090909090909092	0	0	9.090909090909092	0	0	18.181818181818183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.090909090909092	0	0	4.545454545454546	4.545454545454546	0	0	9.090909090909092	4.545454545454546	0	0	0.0	100.0	100.0	0.0	1.0	100.0	0	0	0	0
txt_files/training#507098823924006912_1.conllu	2	20	10.0	6.588235294117647	15.0	5.0	15.0	0	5.0	10.0	0	20.0	0	0	5.0	15.0	0	0	10.0	0	0.7647058823529411	100.0	0	0	0	0	0	100.0	0	100.0	0	0	0	50.0	0	0	0	0	50.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	50.0	2.5	0	0	50.0	50.0	0	0	0	2.5	10.0	4.0	2.2666666666666666	5	0	0	0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	15.0	15.0	0	0	0	5.0	5.0	0	0	5.0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	5.0	0	0	10.0	0	0	0	15.0	10.0	0	0	100.0	0.0	0	0	0	0	0	0	0	0
txt_files/training#839442803084120064_1.conllu	2	28	14.0	4.0	3.5714285714285716	7.142857142857143	7.142857142857143	3.5714285714285716	3.5714285714285716	14.285714285714286	0	17.857142857142858	0	17.857142857142858	0	3.5714285714285716	3.5714285714285716	0	17.857142857142858	0	0.48148148148148145	0	0	0	100.0	0	0	100.0	0	80.0	0	20.0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	100.0	3.0	100.0	2.6	20.0	0	20.0	40.0	0	20.0	0	3.5	4.666666666666667	7.0	2.2	8	0	0	0	0	0	0	0.0	100.0	50.0	50.0	0	7.142857142857143	0	7.142857142857143	3.5714285714285716	0	0	0	7.142857142857143	3.5714285714285716	0	0	3.5714285714285716	3.5714285714285716	0	14.285714285714286	0	0	0	0	7.142857142857143	0	0	0	0	0	0	0	3.5714285714285716	0	14.285714285714286	0	0	3.5714285714285716	7.142857142857143	0	0	3.5714285714285716	7.142857142857143	0	3.5714285714285716	40.0	60.0	100.0	0.0	1.5	50.0	50.0	0	0	0
txt_files/training#526648302516064256_1.conllu	2	22	11.0	5.5	13.636363636363637	4.545454545454546	13.636363636363637	0	0	9.090909090909092	0	18.181818181818183	0	9.090909090909092	9.090909090909092	9.090909090909092	0	0	13.636363636363637	0	0.75	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	50.0	3.0	0	0	33.333333333333336	33.333333333333336	33.333333333333336	0	0	2.5	7.333333333333333	4.5	1.8333333333333333	6	0	0	0	0	0	0	0	0	33.333333333333336	66.66666666666667	0	4.545454545454546	0	13.636363636363637	13.636363636363637	0	0	0	4.545454545454546	0	0	0	0	0	0	9.090909090909092	0	0	0	0	4.545454545454546	0	0	0	0	0	4.545454545454546	0	0	4.545454545454546	13.636363636363637	0	0	0	4.545454545454546	0	4.545454545454546	9.090909090909092	9.090909090909092	0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0	0
txt_files/test#587592871487873026_0.conllu	1	18	18.0	3.6470588235294117	0	22.22222222222222	5.555555555555555	5.555555555555555	0	22.22222222222222	0	33.333333333333336	0	0	0	5.555555555555555	0	0	5.555555555555555	0	0.47058823529411764	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	3.0	18.0	10.0	2.5	10	1.0	2	100.0	0	0	0	0.0	100.0	0	0	0	0	0	5.555555555555555	0	0	5.555555555555555	0	22.22222222222222	0	0	5.555555555555555	0	0	0	22.22222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	11.11111111111111	0	0	0	5.555555555555555	11.11111111111111	0	0	5.555555555555555	5.555555555555555	0	0	100.0	0.0	0	0	0	0	0	0	0	0
txt_files/training#395509393695178752_1.conllu	2	20	10.0	4.85	0	15.0	10.0	0	0	15.0	0	35.0	0	5.0	0	0	0	0	20.0	0	0.65	0	0	0	100.0	0	33.333333333333336	66.66666666666667	0	75.0	0	25.0	0	0	33.333333333333336	33.333333333333336	0	0	33.333333333333336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	2.25	0	0	75.0	25.0	0	0	0	5.0	5.0	3.0	1.5555555555555556	3	1.0	2	100.0	0	0	0	0.0	100.0	100.0	0.0	5.0	5.0	0	10.0	0	0	0	0	10.0	0	0	0	0	0	0	15.0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	10.0	10.0	0	0	20.0	0	0	0	0	10.0	0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0	0
txt_files/training#603589025690218497_1.conllu	1	21	21.0	6.684210526315789	19.047619047619047	9.523809523809524	4.761904761904762	4.761904761904762	4.761904761904762	4.761904761904762	0	14.285714285714286	0	0	23.80952380952381	9.523809523809524	0	0	4.761904761904762	0	0.7368421052631579	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	4.0	21.0	11.0	2.2222222222222223	11	1.0	1	100.0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	4.761904761904762	19.047619047619047	0	4.761904761904762	0	9.523809523809524	4.761904761904762	0	0	4.761904761904762	0	0	4.761904761904762	0	0	0	0	0	0	0	0	0	0	9.523809523809524	0	0	9.523809523809524	4.761904761904762	0	0	4.761904761904762	4.761904761904762	0	0	9.523809523809524	4.761904761904762	0	0	100.0	0.0	0	0	0	0	0	0	0	0
txt_files/training#521221454986493952_1.conllu	1	21	21.0	4.684210526315789	4.761904761904762	9.523809523809524	0	4.761904761904762	9.523809523809524	14.285714285714286	0	14.285714285714286	0	9.523809523809524	14.285714285714286	9.523809523809524	0	0	9.523809523809524	0	0.47368421052631576	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	100.0	2.0	0.0	3.5	0	0	50.0	0	0	50.0	0	5.0	10.5	9.0	2.6666666666666665	9	0	0	0	0	0	0	0	0	100.0	0.0	0	4.761904761904762	0	0	4.761904761904762	0	0	0	9.523809523809524	9.523809523809524	0	0	9.523809523809524	4.761904761904762	0	14.285714285714286	0	0	0	0	4.761904761904762	0	0	0	0	0	4.761904761904762	0	0	0	9.523809523809524	0	0	0	9.523809523809524	0	0	9.523809523809524	4.761904761904762	0	0	0.0	100.0	100.0	0.0	1.0	100.0	0	0	0	0
